config_id,label,kv_cache_dtype,max_model_len,workload,max_tokens,max_num_batched_tokens,status,median_elapsed_ms,median_tok_per_s,ttft_ms,kv_cache_tokens,startup_seconds,notes
base_fa,base_fa,auto,2048,medium,256,4096,ok,4254.0000,60.1787,83,51200,130,
base_fa,base_fa,auto,2048,long,512,4096,ok,8491.0000,60.2991,63,51200,130,
base_fa,base_fa,auto,2048,ctx_long,256,4096,ok,4371.0000,58.5678,143,51200,130,
base_fa,base_fa,auto,2048,ctx_8k,256,4096,ctx_too_long,,,-1,51200,130,
base_fa,base_fa,auto,2048,ctx_32k,256,4096,ctx_too_long,,,-1,51200,130,
base_fi,base_fi,auto,2048,medium,256,4096,ok,4248.0000,60.2637,80,51200,130,
base_fi,base_fi,auto,2048,long,512,4096,ok,8478.0000,60.3916,60,51200,130,
base_fi,base_fi,auto,2048,ctx_long,256,4096,ok,4362.0000,58.6887,146,51200,130,
base_fi,base_fi,auto,2048,ctx_8k,256,4096,ctx_too_long,,,-1,51200,130,
base_fi,base_fi,auto,2048,ctx_32k,256,4096,ctx_too_long,,,-1,51200,130,
base_fi_8k,base_fi_8k,auto,8192,medium,256,4096,ok,4255.0000,60.1645,80,75452,130,
base_fi_8k,base_fi_8k,auto,8192,long,512,4096,ok,8493.0000,60.2849,60,75452,130,
base_fi_8k,base_fi_8k,auto,8192,ctx_long,256,4096,ok,4364.0000,58.6618,141,75452,130,
base_fi_8k,base_fi_8k,auto,8192,ctx_8k,256,4096,ok,2881.0000,43.7348,773,75452,130,
base_fi_8k,base_fi_8k,auto,8192,ctx_32k,256,4096,ctx_too_long,,,-1,75452,130,
base_fi_32k,base_fi_32k,auto,32768,medium,256,4096,ok,4263.0000,60.0516,80,86884,130,
base_fi_32k,base_fi_32k,auto,32768,long,512,4096,ok,8505.0000,60.1999,60,86884,130,
base_fi_32k,base_fi_32k,auto,32768,ctx_long,256,4096,ok,4372.0000,58.5544,146,86884,130,
base_fi_32k,base_fi_32k,auto,32768,ctx_8k,256,4096,ok,2886.0000,43.6590,773,86884,130,
base_fi_32k,base_fi_32k,auto,32768,ctx_32k,256,4096,ok,4796.0000,24.1868,2762,86884,130,
base_fi_64k,base_fi_64k,auto,65536,medium,256,4096,ok,4264.0000,60.0375,80,89600,125,
base_fi_64k,base_fi_64k,auto,65536,long,512,4096,ok,8512.0000,60.1504,60,89600,125,
base_fi_64k,base_fi_64k,auto,65536,ctx_long,256,4096,ok,4375.0000,58.5143,141,89600,125,
base_fi_64k,base_fi_64k,auto,65536,ctx_8k,256,4096,ok,2894.0000,43.5384,773,89600,125,
base_fi_64k,base_fi_64k,auto,65536,ctx_32k,256,4096,ok,4796.0000,24.1868,2761,89600,125,
base_fi_96k,base_fi_96k,auto,98304,medium,256,4096,model_limit,,,,,110,model_limit
base_fi_96k,base_fi_96k,auto,98304,long,512,4096,model_limit,,,,,110,model_limit
base_fi_96k,base_fi_96k,auto,98304,ctx_long,256,4096,model_limit,,,,,110,model_limit
base_fi_96k,base_fi_96k,auto,98304,ctx_8k,256,4096,model_limit,,,,,110,model_limit
base_fi_96k,base_fi_96k,auto,98304,ctx_32k,256,4096,model_limit,,,,,110,model_limit
fp8kv_2k,fp8kv_2k,fp8,2048,medium,256,4096,ok,4255.0000,60.1645,87,71680,130,
fp8kv_2k,fp8kv_2k,fp8,2048,long,512,4096,ok,8487.0000,60.3276,61,71680,130,
fp8kv_2k,fp8kv_2k,fp8,2048,ctx_long,256,4096,ok,4354.0000,58.7965,145,71680,130,
fp8kv_2k,fp8kv_2k,fp8,2048,ctx_8k,256,4096,ctx_too_long,,,-1,71680,130,
fp8kv_2k,fp8kv_2k,fp8,2048,ctx_32k,256,4096,ctx_too_long,,,-1,71680,130,
fp8kv_8k,fp8kv_8k,fp8,8192,medium,256,4096,ok,4260.0000,60.0939,80,130327,130,
fp8kv_8k,fp8kv_8k,fp8,8192,long,512,4096,ok,8496.0000,60.2637,61,130327,130,
fp8kv_8k,fp8kv_8k,fp8,8192,ctx_long,256,4096,ok,4366.0000,58.6349,142,130327,130,
fp8kv_8k,fp8kv_8k,fp8,8192,ctx_8k,256,4096,ok,2790.0000,43.3692,782,130327,130,
fp8kv_8k,fp8kv_8k,fp8,8192,ctx_32k,256,4096,ctx_too_long,,,-1,130327,130,
fp8kv_32k,fp8kv_32k,fp8,32768,medium,256,4096,ok,4268.0000,59.9813,80,163840,130,
fp8kv_32k,fp8kv_32k,fp8,32768,long,512,4096,ok,8515.0000,60.1292,60,163840,130,
fp8kv_32k,fp8kv_32k,fp8,32768,ctx_long,256,4096,ok,4375.0000,58.5143,143,163840,130,
fp8kv_32k,fp8kv_32k,fp8,32768,ctx_8k,256,4096,ok,2794.0000,43.3071,786,163840,130,
fp8kv_32k,fp8kv_32k,fp8,32768,ctx_32k,256,4096,ok,4833.0000,23.5878,2896,163840,130,
fp8kv_64k,fp8kv_64k,fp8,65536,medium,256,4096,ok,4268.0000,59.9813,82,173769,125,
fp8kv_64k,fp8kv_64k,fp8,65536,long,512,4096,ok,8514.0000,60.1362,60,173769,125,
fp8kv_64k,fp8kv_64k,fp8,65536,ctx_long,256,4096,ok,4368.0000,58.6081,145,173769,125,
fp8kv_64k,fp8kv_64k,fp8,65536,ctx_8k,256,4096,ok,2797.0000,43.2606,787,173769,125,
fp8kv_64k,fp8kv_64k,fp8,65536,ctx_32k,256,4096,ok,4835.0000,23.5781,2894,173769,125,
fp8kv_96k,fp8kv_96k,fp8,98304,medium,256,4096,ok,4269.0000,59.9672,79,177352,130,
fp8kv_96k,fp8kv_96k,fp8,98304,long,512,4096,ok,8515.0000,60.1292,60,177352,130,
fp8kv_96k,fp8kv_96k,fp8,98304,ctx_long,256,4096,ok,4373.0000,58.5410,149,177352,130,
fp8kv_96k,fp8kv_96k,fp8,98304,ctx_8k,256,4096,ok,2795.0000,43.2916,781,177352,130,
fp8kv_96k,fp8kv_96k,fp8,98304,ctx_32k,256,4096,ok,4837.0000,23.5683,2894,177352,130,
